id,date,merchant,price,category,memo
edu_1,2025-10-26,교보문고,175053,교육(도서 포함),교육비
edu_2,2025-05-04,알라딘,200698,교육(도서 포함),교육비
edu_3,2025-08-05,YES24,290206,교육(도서 포함),학원비
edu_4,2025-06-03,영어학원,250637,교육(도서 포함),교육비
edu_5,2025-10-20,인터파크도서,132954,교육(도서 포함),교육비
edu_6,2025-03-27,영어학원,119806,교육(도서 포함),학습서구매
edu_7,2025-11-04,교보문고,154015,교육(도서 포함),학습서구매
edu_8,2025-01-09,패스트캠퍼스,213982,교육(도서 포함),학원비
edu_9,2025-09-04,인강플랫폼,250528,교육(도서 포함),교육비
edu_10,2025-10-16,영어학원,145582,교육(도서 포함),수강료
edu_11,2025-10-29,교보문고,219836,교육(도서 포함),교육비
edu_12,2025-01-24,코딩학원,129572,교육(도서 포함),수강료
edu_13,2025-06-30,알라딘,42901,교육(도서 포함),도서구매
edu_14,2025-09-19,인터파크도서,17810,교육(도서 포함),도서구매
edu_15,2025-08-22,인강플랫폼,13194,교육(도서 포함),학원비
edu_16,2024-12-02,인프런,287012,교육(도서 포함),도서구매
edu_17,2025-10-20,YES24,232114,교육(도서 포함),책주문
edu_18,2024-11-24,YES24,198159,교육(도서 포함),도서구매
edu_19,2025-06-09,동네서점,190712,교육(도서 포함),책주문
edu_20,2025-07-23,인프런,254404,교육(도서 포함),도서구매
edu_21,2025-09-21,교보문고,51777,교육(도서 포함),책주문
edu_22,2025-02-01,동네서점,150512,교육(도서 포함),학원비
edu_23,2025-04-02,학원비,240461,교육(도서 포함),수강료
edu_24,2024-12-07,패스트캠퍼스,196470,교육(도서 포함),교육비
edu_25,2025-10-16,YES24,235863,교육(도서 포함),수강료
edu_26,2025-10-24,인프런,294938,교육(도서 포함),교육비
edu_27,2025-01-16,코딩학원,177900,교육(도서 포함),책주문
edu_28,2025-05-07,피아노학원,258073,교육(도서 포함),학원비
edu_29,2025-09-20,YES24,97478,교육(도서 포함),책주문
edu_30,2025-10-16,패스트캠퍼스,245105,교육(도서 포함),학습서구매
edu_31,2025-01-14,인터파크도서,28047,교육(도서 포함),책주문
edu_32,2025-09-23,인강플랫폼,178734,교육(도서 포함),학습서구매
edu_33,2025-05-30,학원비,120607,교육(도서 포함),책주문
edu_34,2025-03-24,YES24,75886,교육(도서 포함),학원비
edu_35,2025-02-24,학원비,220674,교육(도서 포함),학원비
edu_36,2025-07-08,영어학원,261488,교육(도서 포함),책주문
edu_37,2025-08-21,코딩학원,140209,교육(도서 포함),학습서구매
edu_38,2025-10-25,인터파크도서,280869,교육(도서 포함),교육비
edu_39,2025-08-02,동네서점,266472,교육(도서 포함),학습서구매
edu_40,2025-01-01,인강플랫폼,117675,교육(도서 포함),책주문
edu_41,2025-05-19,YES24,104815,교육(도서 포함),교육비
edu_42,2025-06-02,영풍문고,7562,교육(도서 포함),학원비
edu_43,2025-05-28,피아노학원,207259,교육(도서 포함),학습서구매
edu_44,2024-12-21,영풍문고,68135,교육(도서 포함),도서구매
edu_45,2025-01-19,영어학원,79782,교육(도서 포함),수강료
edu_46,2025-05-19,영풍문고,142192,교육(도서 포함),수강료
edu_47,2025-08-20,영어학원,297237,교육(도서 포함),책주문
edu_48,2025-01-30,학원비,136993,교육(도서 포함),수강료
edu_49,2025-02-27,동네서점,242838,교육(도서 포함),책주문
edu_50,2025-05-02,피아노학원,175255,교육(도서 포함),책주문
edu_51,2025-01-31,인프런,190496,교육(도서 포함),학습서구매
edu_52,2025-11-05,코딩학원,188088,교육(도서 포함),도서구매
edu_53,2025-05-08,인강플랫폼,153935,교육(도서 포함),책주문
edu_54,2025-10-31,인터파크도서,212306,교육(도서 포함),수강료
edu_55,2025-06-16,패스트캠퍼스,155054,교육(도서 포함),수강료
edu_56,2025-07-27,인프런,207990,교육(도서 포함),수강료
edu_57,2025-05-04,인프런,54366,교육(도서 포함),책주문
edu_58,2025-11-18,동네서점,26252,교육(도서 포함),교육비
edu_59,2025-09-28,학원비,12204,교육(도서 포함),도서구매
edu_60,2025-07-10,동네서점,95518,교육(도서 포함),도서구매
edu_61,2025-06-21,영풍문고,251618,교육(도서 포함),교육비
edu_62,2025-04-03,YES24,209572,교육(도서 포함),학원비
edu_63,2025-06-25,인강플랫폼,99966,교육(도서 포함),학원비
edu_64,2025-08-28,YES24,275971,교육(도서 포함),도서구매
edu_65,2025-07-01,동네서점,185756,교육(도서 포함),책주문
edu_66,2025-01-09,패스트캠퍼스,211123,교육(도서 포함),학원비
edu_67,2025-07-16,알라딘,131997,교육(도서 포함),학원비
edu_68,2025-10-10,알라딘,159800,교육(도서 포함),교육비
edu_69,2025-08-20,패스트캠퍼스,196953,교육(도서 포함),수강료
edu_70,2025-06-01,학원비,255749,교육(도서 포함),도서구매
edu_71,2025-02-18,인프런,199753,교육(도서 포함),수강료
edu_72,2025-05-02,교보문고,275586,교육(도서 포함),학습서구매
edu_73,2025-11-01,인강플랫폼,145928,교육(도서 포함),학원비
edu_74,2025-05-28,인강플랫폼,284769,교육(도서 포함),책주문
edu_75,2025-05-26,동네서점,75670,교육(도서 포함),학원비
edu_76,2025-04-07,교보문고,49453,교육(도서 포함),학원비
edu_77,2024-11-23,인강플랫폼,26867,교육(도서 포함),수강료
edu_78,2025-04-10,학원비,292897,교육(도서 포함),수강료
edu_79,2025-07-29,동네서점,211798,교육(도서 포함),수강료
edu_80,2025-03-24,학원비,280665,교육(도서 포함),교육비
edu_81,2025-09-09,코딩학원,184212,교육(도서 포함),학원비
edu_82,2025-05-21,동네서점,274928,교육(도서 포함),학습서구매
edu_83,2025-09-12,피아노학원,205146,교육(도서 포함),책주문
edu_84,2025-06-26,인터파크도서,239685,교육(도서 포함),교육비
edu_85,2025-01-04,인프런,175662,교육(도서 포함),학습서구매
edu_86,2025-03-28,영어학원,64459,교육(도서 포함),학원비
edu_87,2025-08-30,인강플랫폼,293923,교육(도서 포함),책주문
edu_88,2025-04-16,학원비,230961,교육(도서 포함),도서구매
edu_89,2025-05-27,영풍문고,59688,교육(도서 포함),교육비
edu_90,2025-08-02,인프런,295178,교육(도서 포함),도서구매
edu_91,2025-06-02,알라딘,280940,교육(도서 포함),수강료
edu_92,2025-09-22,교보문고,66415,교육(도서 포함),학원비
edu_93,2025-09-20,교보문고,164779,교육(도서 포함),도서구매
edu_94,2025-08-05,영풍문고,220333,교육(도서 포함),학원비
edu_95,2025-05-22,인프런,237273,교육(도서 포함),교육비
edu_96,2025-02-09,인프런,69828,교육(도서 포함),수강료
