id,date,merchant,price,category,memo
etc_1,2025-06-24,POS결제,26497,기타,간단결제
etc_2,2025-06-05,POS결제,14576,기타,간단결제
etc_3,2025-06-06,동네가게,15963,기타,기타지출
etc_4,2025-06-05,동네가게,4782,기타,소액결제
etc_5,2025-07-16,기타상점,5135,기타,소액결제
etc_6,2025-08-12,기타결제,15785,기타,임시지출
etc_7,2025-10-25,동네가게,27085,기타,간단결제
etc_8,2025-06-07,기타결제,13016,기타,간단결제
etc_9,2025-10-26,현금결제,21844,기타,소액결제
etc_10,2025-09-15,기타결제,17588,기타,간단결제
etc_11,2024-12-26,현금결제,9964,기타,소액결제
etc_12,2025-06-26,기타상점,27620,기타,임시지출
etc_13,2025-08-28,기타결제,8201,기타,임시지출
etc_14,2025-08-29,기타결제,26675,기타,임시지출
etc_15,2025-02-25,현금결제,27693,기타,간단결제
etc_16,2025-11-01,POS결제,11736,기타,간단결제
etc_17,2025-07-12,현금결제,23290,기타,소액결제
etc_18,2025-06-16,기타결제,6551,기타,임시지출
etc_19,2025-05-03,기타결제,4571,기타,임시지출
etc_20,2025-08-25,동네가게,16194,기타,기타지출
etc_21,2025-03-14,기타상점,12761,기타,임시지출
etc_22,2025-03-19,POS결제,9598,기타,임시지출
etc_23,2025-01-21,동네가게,17228,기타,기타지출
etc_24,2025-06-13,현금결제,29817,기타,기타지출
etc_25,2025-05-06,기타결제,25654,기타,소액결제
etc_26,2024-11-23,현금결제,18744,기타,간단결제
etc_27,2025-09-22,현금결제,14237,기타,임시지출
etc_28,2025-09-06,기타상점,10839,기타,소액결제
etc_29,2024-11-21,POS결제,20141,기타,기타지출
etc_30,2025-02-03,동네가게,15869,기타,간단결제
etc_31,2024-12-14,현금결제,7482,기타,기타지출
etc_32,2024-11-24,기타상점,2289,기타,소액결제
etc_33,2025-08-06,기타결제,12676,기타,임시지출
etc_34,2024-12-09,동네가게,7651,기타,간단결제
etc_35,2025-02-26,동네가게,16132,기타,소액결제
etc_36,2025-03-05,POS결제,22785,기타,간단결제
etc_37,2025-07-15,기타결제,12367,기타,기타지출
etc_38,2025-04-11,POS결제,6457,기타,소액결제
etc_39,2025-08-07,기타상점,16500,기타,기타지출
etc_40,2025-05-02,기타결제,6335,기타,기타지출
etc_41,2025-07-08,POS결제,20059,기타,소액결제
etc_42,2025-06-05,기타결제,6278,기타,임시지출
etc_43,2025-06-25,동네가게,21802,기타,기타지출
etc_44,2025-08-19,동네가게,25880,기타,임시지출
etc_45,2025-02-18,기타결제,7528,기타,기타지출
etc_46,2025-06-04,기타결제,3271,기타,간단결제
etc_47,2024-12-15,기타결제,25351,기타,간단결제
etc_48,2025-06-18,POS결제,4785,기타,기타지출
etc_49,2025-09-23,현금결제,26554,기타,간단결제
etc_50,2025-08-23,POS결제,2216,기타,간단결제
etc_51,2025-10-10,기타상점,23083,기타,소액결제
etc_52,2025-02-12,기타결제,16803,기타,기타지출
etc_53,2025-01-06,동네가게,26328,기타,소액결제
etc_54,2025-05-05,POS결제,5263,기타,소액결제
etc_55,2025-01-26,POS결제,14848,기타,소액결제
etc_56,2025-01-15,기타결제,22962,기타,소액결제
etc_57,2025-10-30,동네가게,10248,기타,임시지출
etc_58,2025-05-19,POS결제,4497,기타,간단결제
etc_59,2025-11-04,POS결제,13781,기타,기타지출
etc_60,2025-10-12,기타상점,20910,기타,기타지출
etc_61,2025-10-26,기타상점,10001,기타,임시지출
etc_62,2025-10-29,기타상점,14956,기타,임시지출
etc_63,2025-06-22,동네가게,12996,기타,기타지출
etc_64,2025-10-03,기타결제,13623,기타,임시지출
etc_65,2025-08-23,POS결제,8145,기타,임시지출
etc_66,2025-03-24,POS결제,27715,기타,임시지출
etc_67,2025-09-18,현금결제,26788,기타,임시지출
etc_68,2025-09-01,현금결제,10640,기타,소액결제
etc_69,2025-07-21,현금결제,7707,기타,임시지출
etc_70,2025-05-29,POS결제,16499,기타,임시지출
etc_71,2025-06-17,현금결제,26119,기타,소액결제
etc_72,2025-04-20,POS결제,6679,기타,임시지출
etc_73,2025-06-07,기타결제,22666,기타,간단결제
etc_74,2025-07-18,기타상점,28670,기타,기타지출
etc_75,2025-09-29,기타상점,5517,기타,소액결제
etc_76,2025-03-08,기타상점,12322,기타,임시지출
etc_77,2024-12-25,동네가게,12834,기타,간단결제
etc_78,2025-09-14,기타상점,20236,기타,기타지출
etc_79,2025-06-22,동네가게,7635,기타,간단결제
etc_80,2025-03-25,기타상점,23172,기타,임시지출
etc_81,2025-01-27,동네가게,9036,기타,소액결제
etc_82,2025-06-08,POS결제,4872,기타,기타지출
etc_83,2025-08-16,POS결제,3828,기타,임시지출
etc_84,2024-12-06,기타상점,23825,기타,소액결제
etc_85,2025-11-16,현금결제,25782,기타,소액결제
etc_86,2025-09-03,현금결제,13617,기타,임시지출
etc_87,2025-06-16,POS결제,27292,기타,간단결제
etc_88,2025-02-22,동네가게,8446,기타,임시지출
etc_89,2025-10-29,동네가게,15388,기타,간단결제
etc_90,2025-08-23,기타결제,7638,기타,기타지출
etc_91,2025-04-17,기타결제,23943,기타,임시지출
etc_92,2025-06-23,현금결제,17293,기타,소액결제
etc_93,2025-03-09,기타상점,2078,기타,기타지출
etc_94,2024-12-20,기타결제,16015,기타,간단결제
etc_95,2025-01-14,기타상점,6077,기타,간단결제
etc_96,2025-03-13,현금결제,29309,기타,임시지출
etc_97,2025-05-23,POS결제,8880,기타,임시지출
etc_98,2025-08-12,기타결제,28890,기타,기타지출
etc_99,2025-09-14,동네가게,19889,기타,소액결제
etc_100,2025-10-11,POS결제,8343,기타,간단결제
etc_101,2025-11-20,현금결제,9391,기타,기타지출
etc_102,2025-03-18,기타결제,23981,기타,소액결제
etc_103,2025-07-13,동네가게,28685,기타,간단결제
etc_104,2025-01-15,POS결제,25435,기타,기타지출
etc_105,2025-11-06,기타상점,28724,기타,임시지출
etc_106,2024-12-16,기타상점,8807,기타,소액결제
etc_107,2025-09-18,기타상점,10263,기타,간단결제
etc_108,2025-04-01,현금결제,13575,기타,소액결제
etc_109,2025-11-03,기타상점,17233,기타,간단결제
etc_110,2025-06-15,동네가게,5378,기타,기타지출
etc_111,2024-12-24,현금결제,10855,기타,소액결제
etc_112,2025-10-15,현금결제,8738,기타,기타지출
etc_113,2025-09-09,현금결제,27872,기타,임시지출
etc_114,2025-08-31,현금결제,27207,기타,간단결제
etc_115,2025-07-07,POS결제,5136,기타,임시지출
etc_116,2025-02-05,POS결제,2794,기타,간단결제
etc_117,2025-06-20,동네가게,6959,기타,기타지출
etc_118,2025-11-18,현금결제,25251,기타,기타지출
etc_119,2025-11-19,기타결제,25623,기타,간단결제
etc_120,2024-12-17,현금결제,10252,기타,임시지출
etc_121,2025-08-20,POS결제,14335,기타,임시지출
etc_122,2025-01-24,기타상점,24973,기타,소액결제
etc_123,2025-09-23,기타결제,26069,기타,임시지출
etc_124,2025-05-25,기타상점,2398,기타,임시지출
etc_125,2025-11-01,기타상점,6158,기타,기타지출
etc_126,2025-08-23,기타상점,27267,기타,기타지출
etc_127,2025-06-07,기타상점,19702,기타,간단결제
etc_128,2024-12-20,POS결제,10810,기타,소액결제
etc_129,2025-06-17,기타상점,7407,기타,임시지출
etc_130,2024-12-28,기타상점,22074,기타,간단결제
etc_131,2025-05-13,POS결제,2190,기타,소액결제
etc_132,2025-03-09,현금결제,7302,기타,임시지출
etc_133,2025-09-13,기타결제,21093,기타,기타지출
etc_134,2025-04-24,기타상점,12507,기타,간단결제
etc_135,2025-02-24,POS결제,25795,기타,기타지출
etc_136,2024-12-12,현금결제,26910,기타,임시지출
etc_137,2025-05-25,기타결제,5269,기타,소액결제
etc_138,2024-12-27,POS결제,14102,기타,간단결제
etc_139,2025-05-25,동네가게,7860,기타,기타지출
etc_140,2025-11-16,기타결제,21572,기타,임시지출
etc_141,2024-12-17,현금결제,23191,기타,소액결제
etc_142,2025-05-28,기타상점,8787,기타,간단결제
etc_143,2024-12-13,기타상점,15028,기타,임시지출
etc_144,2025-03-17,현금결제,28737,기타,간단결제
etc_145,2025-08-29,기타상점,15666,기타,간단결제
etc_146,2024-12-24,기타결제,25508,기타,임시지출
etc_147,2025-11-18,기타상점,18852,기타,소액결제
etc_148,2025-05-02,기타상점,12394,기타,기타지출
etc_149,2025-01-31,POS결제,20379,기타,기타지출
etc_150,2025-07-11,기타결제,26055,기타,소액결제
etc_151,2025-05-13,POS결제,21489,기타,소액결제
etc_152,2025-01-29,동네가게,15138,기타,임시지출
etc_153,2024-12-19,POS결제,20722,기타,소액결제
etc_154,2025-09-23,기타상점,9216,기타,간단결제
etc_155,2025-10-22,현금결제,19066,기타,기타지출
etc_156,2024-11-24,동네가게,23229,기타,간단결제
etc_157,2025-09-19,기타결제,10442,기타,간단결제
etc_158,2025-11-20,POS결제,19350,기타,임시지출
etc_159,2025-07-24,현금결제,5392,기타,간단결제
etc_160,2025-01-21,기타상점,20515,기타,임시지출
etc_161,2025-01-04,현금결제,24538,기타,소액결제
etc_162,2025-03-05,기타결제,15894,기타,기타지출
etc_163,2025-01-21,현금결제,19003,기타,소액결제
etc_164,2025-10-06,기타상점,24858,기타,기타지출
etc_165,2025-09-12,현금결제,17557,기타,기타지출
etc_166,2025-03-31,현금결제,10027,기타,기타지출
etc_167,2025-02-07,기타상점,22747,기타,기타지출
etc_168,2025-09-22,기타결제,4493,기타,기타지출
etc_169,2025-02-04,동네가게,18659,기타,기타지출
etc_170,2025-04-26,기타결제,14191,기타,소액결제
etc_171,2025-08-09,POS결제,27132,기타,기타지출
etc_172,2025-03-15,기타결제,15933,기타,소액결제
etc_173,2025-08-30,POS결제,17302,기타,기타지출
etc_174,2025-03-18,현금결제,7214,기타,간단결제
etc_175,2025-03-27,현금결제,22981,기타,임시지출
etc_176,2025-05-31,동네가게,17879,기타,임시지출
etc_177,2024-12-10,현금결제,7440,기타,간단결제
etc_178,2024-12-18,POS결제,25319,기타,기타지출
etc_179,2025-01-31,동네가게,22495,기타,기타지출
etc_180,2025-08-29,기타상점,3073,기타,임시지출
etc_181,2025-02-12,기타결제,26215,기타,임시지출
etc_182,2025-06-03,POS결제,29275,기타,소액결제
etc_183,2024-12-28,동네가게,15507,기타,간단결제
etc_184,2024-12-10,기타결제,3417,기타,기타지출
etc_185,2025-07-22,기타상점,4058,기타,간단결제
etc_186,2025-09-27,기타결제,27087,기타,소액결제
etc_187,2025-02-26,현금결제,7271,기타,기타지출
etc_188,2025-07-20,현금결제,16913,기타,기타지출
etc_189,2025-09-21,POS결제,5235,기타,임시지출
etc_190,2025-01-16,POS결제,29691,기타,간단결제
etc_191,2025-07-15,기타상점,20377,기타,임시지출
etc_192,2025-06-22,기타상점,22747,기타,소액결제
etc_193,2025-04-06,기타상점,12994,기타,간단결제
etc_194,2025-01-16,동네가게,19439,기타,소액결제
etc_195,2025-01-25,동네가게,12045,기타,간단결제
etc_196,2025-02-06,기타상점,14442,기타,소액결제
etc_197,2025-03-01,기타상점,26736,기타,소액결제
etc_198,2025-07-03,POS결제,5791,기타,기타지출
etc_199,2025-09-29,기타결제,9916,기타,소액결제
etc_200,2025-08-22,POS결제,29507,기타,소액결제
etc_201,2025-11-19,POS결제,27128,기타,기타지출
etc_202,2025-09-27,POS결제,20602,기타,소액결제
etc_203,2025-01-22,기타결제,7995,기타,간단결제
etc_204,2025-01-22,기타상점,26712,기타,소액결제
etc_205,2025-01-07,기타결제,5201,기타,임시지출
etc_206,2025-08-10,동네가게,7469,기타,임시지출
etc_207,2025-04-07,기타상점,16192,기타,소액결제
etc_208,2025-06-13,기타상점,29760,기타,임시지출
etc_209,2025-11-14,동네가게,24572,기타,소액결제
etc_210,2025-07-08,동네가게,24830,기타,소액결제
etc_211,2025-07-17,현금결제,23047,기타,기타지출
etc_212,2024-12-22,동네가게,23283,기타,임시지출
etc_213,2025-05-30,POS결제,13210,기타,간단결제
etc_214,2025-05-11,POS결제,27345,기타,기타지출
etc_215,2025-08-24,동네가게,17622,기타,임시지출
etc_216,2025-01-20,POS결제,27396,기타,소액결제
etc_217,2025-01-13,동네가게,21108,기타,기타지출
etc_218,2025-07-04,현금결제,28339,기타,기타지출
etc_219,2025-07-31,현금결제,27295,기타,소액결제
