id,date,merchant,price,category,memo
fin_1,2025-08-25,예금이체,83630,금융/이체/저축,투자이체
fin_2,2025-09-26,카카오페이송금,35532,금융/이체/저축,예금이체
fin_3,2025-07-20,국민은행,23120,금융/이체/저축,투자이체
fin_4,2025-07-14,카카오페이송금,50452,금융/이체/저축,적금납입
fin_5,2025-09-09,신한은행,178201,금융/이체/저축,적금납입
fin_6,2025-01-10,적금이체,108739,금융/이체/저축,송금
fin_7,2025-05-26,ATM입금,106025,금융/이체/저축,송금
fin_8,2025-08-22,우리은행,117046,금융/이체/저축,투자이체
fin_9,2025-03-26,ATM출금,177916,금융/이체/저축,송금
fin_10,2025-04-20,ATM입금,99501,금융/이체/저축,투자이체
fin_11,2025-08-03,카카오페이송금,16506,금융/이체/저축,이체
fin_12,2025-05-17,우리은행,135225,금융/이체/저축,예금이체
fin_13,2025-01-20,증권계좌,99084,금융/이체/저축,이체
fin_14,2025-07-09,ATM출금,90767,금융/이체/저축,송금
fin_15,2025-02-08,신한은행,54762,금융/이체/저축,투자이체
fin_16,2025-06-27,증권계좌,115965,금융/이체/저축,현금인출
fin_17,2025-05-22,우리은행,132687,금융/이체/저축,적금납입
fin_18,2025-04-06,ATM입금,135851,금융/이체/저축,투자이체
fin_19,2025-02-07,토스송금,17807,금융/이체/저축,예금이체
fin_20,2025-09-14,국민은행,137690,금융/이체/저축,적금납입
fin_21,2025-01-03,적금이체,130000,금융/이체/저축,이체
fin_22,2024-12-08,국민은행,118386,금융/이체/저축,송금
fin_23,2025-05-24,우리은행,75479,금융/이체/저축,예금이체
fin_24,2025-07-16,하나은행,97399,금융/이체/저축,현금인출
fin_25,2025-02-22,ATM출금,161278,금융/이체/저축,현금인출
fin_26,2025-03-10,증권계좌,140640,금융/이체/저축,현금인출
fin_27,2025-06-16,적금이체,136769,금융/이체/저축,투자이체
fin_28,2025-06-30,카카오페이송금,75816,금융/이체/저축,예금이체
fin_29,2025-01-18,증권계좌,30779,금융/이체/저축,적금납입
fin_30,2024-11-28,ATM입금,57619,금융/이체/저축,투자이체
fin_31,2025-11-03,우리은행,92832,금융/이체/저축,적금납입
fin_32,2024-12-05,신한은행,98673,금융/이체/저축,적금납입
fin_33,2025-09-09,우리은행,155200,금융/이체/저축,이체
fin_34,2025-08-17,토스송금,198397,금융/이체/저축,투자이체
fin_35,2025-05-01,우리은행,52599,금융/이체/저축,송금
fin_36,2025-02-24,증권계좌,154013,금융/이체/저축,송금
fin_37,2025-04-23,토스송금,112775,금융/이체/저축,투자이체
fin_38,2025-07-06,하나은행,35578,금융/이체/저축,이체
fin_39,2024-12-22,ATM출금,7865,금융/이체/저축,예금이체
