id,date,merchant,price,category,memo
fixed_1,2025-10-26,보험사교보생명,89128,고정비/구독,공과금
fixed_2,2025-09-24,보험사삼성생명,91392,고정비/구독,통신요금
fixed_3,2025-01-24,유튜브프리미엄,33970,고정비/구독,공과금
fixed_4,2025-01-07,전기요금,56291,고정비/구독,정기결제
fixed_5,2025-09-27,관리비,192536,고정비/구독,통신요금
fixed_6,2024-12-12,LGU+,168356,고정비/구독,정기결제
fixed_7,2025-01-05,전기요금,125218,고정비/구독,관리비
fixed_8,2024-12-30,LGU+,60821,고정비/구독,통신요금
fixed_9,2025-09-26,관리비,17437,고정비/구독,정기결제
fixed_10,2025-06-29,관리비,10223,고정비/구독,공과금
fixed_11,2025-01-26,유튜브프리미엄,163321,고정비/구독,공과금
fixed_12,2025-10-13,보험사삼성생명,139989,고정비/구독,관리비
fixed_13,2025-11-08,수도요금,138623,고정비/구독,보험료
fixed_14,2025-04-08,LGU+,53503,고정비/구독,정기결제
fixed_15,2025-08-09,KT,9398,고정비/구독,관리비
fixed_16,2025-07-17,보험사교보생명,53268,고정비/구독,보험료
fixed_17,2025-07-12,도시가스,28146,고정비/구독,관리비
fixed_18,2025-10-12,LGU+,131466,고정비/구독,정기결제
fixed_19,2025-03-07,넷플릭스,15667,고정비/구독,공과금
fixed_20,2025-10-24,LGU+,182623,고정비/구독,정기결제
fixed_21,2024-12-17,보험사삼성생명,46503,고정비/구독,공과금
fixed_22,2024-11-20,SKT,144050,고정비/구독,통신요금
fixed_23,2025-03-08,보험사교보생명,130530,고정비/구독,통신요금
fixed_24,2024-12-10,도시가스,81417,고정비/구독,관리비
fixed_25,2025-01-13,수도요금,97651,고정비/구독,통신요금
fixed_26,2025-03-09,보험사삼성생명,26884,고정비/구독,통신요금
fixed_27,2025-09-07,유튜브프리미엄,29351,고정비/구독,보험료
fixed_28,2025-09-10,도시가스,174451,고정비/구독,구독료
fixed_29,2024-12-29,보험사교보생명,60509,고정비/구독,공과금
fixed_30,2024-12-09,LGU+,114696,고정비/구독,통신요금
fixed_31,2025-04-26,KT,92694,고정비/구독,보험료
fixed_32,2025-11-03,KT,170770,고정비/구독,공과금
fixed_33,2025-10-15,유튜브프리미엄,24845,고정비/구독,정기결제
fixed_34,2024-12-05,SKT,70875,고정비/구독,구독료
fixed_35,2025-08-01,KT,108503,고정비/구독,공과금
fixed_36,2024-12-02,유튜브프리미엄,148806,고정비/구독,보험료
fixed_37,2025-06-15,넷플릭스,187359,고정비/구독,통신요금
fixed_38,2025-05-27,KT,33335,고정비/구독,구독료
fixed_39,2025-09-22,전기요금,73616,고정비/구독,보험료
fixed_40,2025-01-24,넷플릭스,36924,고정비/구독,보험료
fixed_41,2025-03-07,넷플릭스,19021,고정비/구독,관리비
fixed_42,2025-02-12,넷플릭스,153975,고정비/구독,보험료
fixed_43,2025-08-13,LGU+,122536,고정비/구독,정기결제
fixed_44,2025-05-26,유튜브프리미엄,182972,고정비/구독,보험료
fixed_45,2025-05-26,전기요금,44791,고정비/구독,보험료
fixed_46,2025-08-13,도시가스,95633,고정비/구독,관리비
fixed_47,2025-02-14,넷플릭스,52345,고정비/구독,보험료
fixed_48,2024-12-15,KT,22842,고정비/구독,정기결제
fixed_49,2025-06-01,디즈니플러스,90130,고정비/구독,구독료
fixed_50,2025-10-05,디즈니플러스,94916,고정비/구독,보험료
fixed_51,2025-05-05,보험사삼성생명,197216,고정비/구독,보험료
fixed_52,2024-11-25,넷플릭스,114661,고정비/구독,통신요금
fixed_53,2025-08-29,도시가스,189170,고정비/구독,공과금
fixed_54,2025-10-16,수도요금,177960,고정비/구독,보험료
fixed_55,2025-10-17,유튜브프리미엄,31605,고정비/구독,보험료
fixed_56,2025-01-04,보험사교보생명,169350,고정비/구독,보험료
fixed_57,2025-10-01,보험사교보생명,93820,고정비/구독,정기결제
fixed_58,2025-02-09,도시가스,173044,고정비/구독,통신요금
fixed_59,2025-07-22,유튜브프리미엄,103203,고정비/구독,구독료
fixed_60,2025-09-28,수도요금,158197,고정비/구독,정기결제
fixed_61,2025-02-21,관리비,187657,고정비/구독,통신요금
fixed_62,2025-11-01,전기요금,29636,고정비/구독,관리비
fixed_63,2025-02-06,보험사삼성생명,68070,고정비/구독,보험료
fixed_64,2025-04-13,수도요금,124800,고정비/구독,구독료
fixed_65,2025-03-08,SKT,127328,고정비/구독,보험료
fixed_66,2025-02-21,SKT,96786,고정비/구독,정기결제
fixed_67,2025-05-11,KT,6850,고정비/구독,통신요금
fixed_68,2025-06-02,SKT,84406,고정비/구독,통신요금
fixed_69,2025-05-19,넷플릭스,137460,고정비/구독,정기결제
fixed_70,2025-01-13,보험사교보생명,27424,고정비/구독,보험료
fixed_71,2025-05-30,도시가스,47266,고정비/구독,관리비
fixed_72,2025-05-22,수도요금,111010,고정비/구독,구독료
fixed_73,2025-08-14,전기요금,136186,고정비/구독,정기결제
fixed_74,2025-06-17,보험사교보생명,134073,고정비/구독,통신요금
fixed_75,2025-02-02,수도요금,10560,고정비/구독,구독료
fixed_76,2024-12-21,수도요금,138422,고정비/구독,통신요금
fixed_77,2025-10-04,수도요금,57335,고정비/구독,구독료
fixed_78,2024-11-26,디즈니플러스,111261,고정비/구독,구독료
fixed_79,2025-09-29,유튜브프리미엄,36233,고정비/구독,통신요금
fixed_80,2025-03-24,수도요금,91119,고정비/구독,구독료
fixed_81,2025-07-06,보험사삼성생명,49823,고정비/구독,통신요금
fixed_82,2024-12-09,보험사교보생명,197921,고정비/구독,공과금
fixed_83,2025-10-07,LGU+,52308,고정비/구독,통신요금
fixed_84,2025-02-27,보험사삼성생명,117324,고정비/구독,보험료
fixed_85,2025-08-09,수도요금,176154,고정비/구독,구독료
fixed_86,2025-10-14,유튜브프리미엄,84586,고정비/구독,통신요금
fixed_87,2025-07-19,LGU+,12525,고정비/구독,구독료
fixed_88,2025-05-10,수도요금,13428,고정비/구독,공과금
fixed_89,2025-07-27,KT,42732,고정비/구독,구독료
fixed_90,2025-06-10,디즈니플러스,98158,고정비/구독,보험료
fixed_91,2025-02-04,보험사삼성생명,57025,고정비/구독,통신요금
fixed_92,2025-01-04,수도요금,71382,고정비/구독,공과금
fixed_93,2024-12-14,수도요금,59841,고정비/구독,정기결제
fixed_94,2025-05-01,디즈니플러스,170150,고정비/구독,정기결제
fixed_95,2025-10-10,보험사삼성생명,27735,고정비/구독,통신요금
fixed_96,2025-03-23,전기요금,28045,고정비/구독,정기결제
fixed_97,2025-08-06,도시가스,60692,고정비/구독,관리비
fixed_98,2024-12-21,LGU+,27667,고정비/구독,관리비
fixed_99,2025-01-20,유튜브프리미엄,126066,고정비/구독,보험료
fixed_100,2025-07-02,보험사삼성생명,177106,고정비/구독,정기결제
fixed_101,2025-06-02,보험사교보생명,54310,고정비/구독,공과금
fixed_102,2025-10-16,유튜브프리미엄,107820,고정비/구독,정기결제
fixed_103,2025-08-22,넷플릭스,95638,고정비/구독,통신요금
fixed_104,2025-09-27,넷플릭스,17729,고정비/구독,통신요금
fixed_105,2025-03-20,유튜브프리미엄,16148,고정비/구독,정기결제
fixed_106,2025-10-20,보험사교보생명,87971,고정비/구독,공과금
fixed_107,2024-12-26,보험사교보생명,190034,고정비/구독,정기결제
fixed_108,2025-05-06,보험사교보생명,88640,고정비/구독,정기결제
fixed_109,2025-08-29,관리비,53538,고정비/구독,공과금
fixed_110,2025-04-26,관리비,175331,고정비/구독,정기결제
fixed_111,2025-02-20,SKT,29261,고정비/구독,공과금
fixed_112,2025-03-08,유튜브프리미엄,58007,고정비/구독,보험료
fixed_113,2025-03-09,KT,134491,고정비/구독,정기결제
fixed_114,2025-01-20,보험사교보생명,109026,고정비/구독,공과금
fixed_115,2024-12-03,유튜브프리미엄,161731,고정비/구독,통신요금
fixed_116,2025-07-31,넷플릭스,117774,고정비/구독,관리비
fixed_117,2025-11-13,관리비,139799,고정비/구독,통신요금
fixed_118,2025-01-31,전기요금,8864,고정비/구독,구독료
fixed_119,2025-01-25,보험사삼성생명,107228,고정비/구독,보험료
fixed_120,2025-02-25,관리비,28196,고정비/구독,공과금
fixed_121,2025-04-02,넷플릭스,105978,고정비/구독,구독료
fixed_122,2025-11-02,수도요금,102821,고정비/구독,정기결제
fixed_123,2025-03-11,LGU+,119817,고정비/구독,공과금
fixed_124,2025-03-09,도시가스,91148,고정비/구독,정기결제
fixed_125,2025-09-10,보험사교보생명,142696,고정비/구독,관리비
fixed_126,2025-08-12,KT,184439,고정비/구독,통신요금
fixed_127,2024-12-20,도시가스,193222,고정비/구독,관리비
fixed_128,2025-06-02,유튜브프리미엄,125895,고정비/구독,공과금
fixed_129,2025-02-22,관리비,73923,고정비/구독,구독료
fixed_130,2025-05-24,SKT,123154,고정비/구독,관리비
fixed_131,2025-09-19,수도요금,146327,고정비/구독,보험료
fixed_132,2025-11-20,디즈니플러스,94793,고정비/구독,정기결제
fixed_133,2025-01-16,유튜브프리미엄,149615,고정비/구독,구독료
fixed_134,2024-12-25,유튜브프리미엄,108323,고정비/구독,보험료
fixed_135,2025-10-21,디즈니플러스,153458,고정비/구독,통신요금
fixed_136,2025-11-04,도시가스,20035,고정비/구독,정기결제
fixed_137,2025-09-03,디즈니플러스,178170,고정비/구독,보험료
fixed_138,2024-12-24,넷플릭스,68881,고정비/구독,보험료
fixed_139,2025-10-12,도시가스,64169,고정비/구독,정기결제
fixed_140,2025-05-27,SKT,155109,고정비/구독,통신요금
fixed_141,2025-08-10,디즈니플러스,170136,고정비/구독,구독료
fixed_142,2025-03-22,보험사삼성생명,21678,고정비/구독,보험료
fixed_143,2025-02-22,보험사삼성생명,130564,고정비/구독,정기결제
fixed_144,2025-06-16,수도요금,146390,고정비/구독,관리비
fixed_145,2025-03-08,도시가스,157896,고정비/구독,공과금
fixed_146,2025-10-13,수도요금,64592,고정비/구독,정기결제
fixed_147,2024-12-15,넷플릭스,195696,고정비/구독,정기결제
fixed_148,2025-07-03,수도요금,25759,고정비/구독,보험료
fixed_149,2025-09-24,SKT,160579,고정비/구독,구독료
fixed_150,2025-09-09,디즈니플러스,101706,고정비/구독,구독료
fixed_151,2025-03-11,수도요금,188379,고정비/구독,통신요금
fixed_152,2025-10-06,LGU+,144071,고정비/구독,보험료
fixed_153,2025-10-14,보험사삼성생명,63915,고정비/구독,공과금
fixed_154,2025-06-03,KT,42517,고정비/구독,통신요금
fixed_155,2025-04-06,유튜브프리미엄,180039,고정비/구독,통신요금
fixed_156,2025-01-16,보험사삼성생명,99641,고정비/구독,통신요금
fixed_157,2024-12-21,SKT,14944,고정비/구독,정기결제
fixed_158,2025-06-22,LGU+,197742,고정비/구독,정기결제
fixed_159,2025-10-27,전기요금,5841,고정비/구독,통신요금
fixed_160,2025-05-11,넷플릭스,197757,고정비/구독,관리비
fixed_161,2025-06-16,관리비,27797,고정비/구독,정기결제
fixed_162,2025-04-03,KT,52714,고정비/구독,정기결제
fixed_163,2025-02-17,보험사교보생명,139093,고정비/구독,정기결제
fixed_164,2025-06-13,수도요금,34234,고정비/구독,공과금
fixed_165,2025-05-13,전기요금,118201,고정비/구독,보험료
fixed_166,2025-05-22,보험사삼성생명,76362,고정비/구독,관리비
fixed_167,2025-04-12,전기요금,171334,고정비/구독,관리비
fixed_168,2025-03-01,보험사교보생명,112369,고정비/구독,공과금
fixed_169,2025-09-25,디즈니플러스,55180,고정비/구독,구독료
fixed_170,2025-03-11,넷플릭스,80737,고정비/구독,관리비
fixed_171,2025-06-13,보험사삼성생명,90488,고정비/구독,보험료
fixed_172,2025-01-16,LGU+,185496,고정비/구독,정기결제
fixed_173,2025-05-07,전기요금,112896,고정비/구독,공과금
fixed_174,2025-07-31,수도요금,70516,고정비/구독,보험료
fixed_175,2025-04-07,도시가스,171035,고정비/구독,정기결제
fixed_176,2025-07-26,넷플릭스,143410,고정비/구독,정기결제
fixed_177,2025-06-20,SKT,197575,고정비/구독,정기결제
fixed_178,2025-02-11,수도요금,145620,고정비/구독,정기결제
fixed_179,2025-02-01,유튜브프리미엄,120223,고정비/구독,통신요금
fixed_180,2024-12-23,전기요금,177255,고정비/구독,정기결제
fixed_181,2025-06-09,유튜브프리미엄,27202,고정비/구독,구독료
fixed_182,2025-10-14,보험사교보생명,169750,고정비/구독,통신요금
fixed_183,2025-01-01,수도요금,183431,고정비/구독,정기결제
fixed_184,2025-07-24,KT,167876,고정비/구독,정기결제
fixed_185,2025-07-02,넷플릭스,160397,고정비/구독,보험료
fixed_186,2025-02-21,유튜브프리미엄,80115,고정비/구독,보험료
fixed_187,2025-11-07,도시가스,66019,고정비/구독,통신요금
fixed_188,2025-05-10,KT,178167,고정비/구독,통신요금
fixed_189,2025-08-11,SKT,79594,고정비/구독,공과금
fixed_190,2025-07-15,SKT,124655,고정비/구독,공과금
fixed_191,2025-02-02,SKT,190078,고정비/구독,보험료
fixed_192,2025-02-12,넷플릭스,178329,고정비/구독,구독료
fixed_193,2024-11-21,전기요금,170100,고정비/구독,정기결제
fixed_194,2025-07-28,디즈니플러스,96473,고정비/구독,정기결제
fixed_195,2025-02-23,보험사교보생명,7076,고정비/구독,공과금
fixed_196,2025-03-18,도시가스,148861,고정비/구독,관리비
fixed_197,2025-05-16,도시가스,110473,고정비/구독,구독료
fixed_198,2025-02-20,도시가스,117906,고정비/구독,보험료
fixed_199,2024-12-04,유튜브프리미엄,125442,고정비/구독,정기결제
fixed_200,2025-03-22,전기요금,151035,고정비/구독,공과금
fixed_201,2024-12-20,LGU+,6703,고정비/구독,관리비
fixed_202,2025-06-10,유튜브프리미엄,45322,고정비/구독,공과금
fixed_203,2025-01-21,보험사교보생명,120004,고정비/구독,보험료
fixed_204,2025-10-02,넷플릭스,59925,고정비/구독,정기결제
fixed_205,2024-12-12,디즈니플러스,63386,고정비/구독,공과금
fixed_206,2024-12-19,전기요금,197041,고정비/구독,통신요금
fixed_207,2025-07-06,보험사교보생명,77819,고정비/구독,보험료
fixed_208,2025-05-05,SKT,83575,고정비/구독,관리비
fixed_209,2025-08-17,KT,23481,고정비/구독,보험료
fixed_210,2024-12-10,관리비,72833,고정비/구독,통신요금
fixed_211,2025-05-13,유튜브프리미엄,115027,고정비/구독,보험료
fixed_212,2024-12-01,관리비,193771,고정비/구독,구독료
fixed_213,2025-01-18,수도요금,52257,고정비/구독,통신요금
fixed_214,2025-04-20,유튜브프리미엄,120495,고정비/구독,통신요금
fixed_215,2025-06-20,KT,89945,고정비/구독,관리비
fixed_216,2025-08-01,디즈니플러스,111328,고정비/구독,보험료
fixed_217,2025-09-13,KT,146153,고정비/구독,통신요금
fixed_218,2025-09-14,전기요금,12959,고정비/구독,보험료
fixed_219,2025-11-20,관리비,134896,고정비/구독,구독료
fixed_220,2025-10-14,도시가스,21767,고정비/구독,공과금
fixed_221,2025-08-05,넷플릭스,16316,고정비/구독,보험료
fixed_222,2025-09-20,보험사교보생명,155070,고정비/구독,정기결제
fixed_223,2025-03-31,관리비,143620,고정비/구독,통신요금
fixed_224,2025-01-01,보험사삼성생명,107019,고정비/구독,구독료
fixed_225,2025-11-12,도시가스,27433,고정비/구독,관리비
fixed_226,2025-02-14,넷플릭스,96736,고정비/구독,구독료
fixed_227,2025-07-19,SKT,11597,고정비/구독,보험료
fixed_228,2025-03-07,관리비,146901,고정비/구독,통신요금
fixed_229,2025-04-06,수도요금,10182,고정비/구독,관리비
fixed_230,2025-09-16,SKT,121657,고정비/구독,관리비
fixed_231,2025-04-16,유튜브프리미엄,39983,고정비/구독,보험료
fixed_232,2025-01-26,SKT,180574,고정비/구독,공과금
fixed_233,2025-04-15,디즈니플러스,160735,고정비/구독,공과금
fixed_234,2025-03-19,넷플릭스,44580,고정비/구독,관리비
fixed_235,2025-01-14,보험사삼성생명,134677,고정비/구독,통신요금
fixed_236,2024-11-20,보험사삼성생명,99537,고정비/구독,공과금
fixed_237,2025-10-27,디즈니플러스,38379,고정비/구독,구독료
fixed_238,2025-08-20,관리비,142511,고정비/구독,정기결제
fixed_239,2025-09-24,수도요금,73142,고정비/구독,구독료
fixed_240,2025-10-16,도시가스,130276,고정비/구독,공과금
fixed_241,2025-09-01,넷플릭스,173820,고정비/구독,정기결제
fixed_242,2025-01-16,SKT,104574,고정비/구독,구독료
fixed_243,2025-03-26,전기요금,48738,고정비/구독,통신요금
fixed_244,2025-04-28,도시가스,95717,고정비/구독,정기결제
fixed_245,2025-08-27,전기요금,169672,고정비/구독,통신요금
fixed_246,2025-11-01,디즈니플러스,183173,고정비/구독,관리비
fixed_247,2025-05-23,넷플릭스,94065,고정비/구독,구독료
fixed_248,2025-01-07,KT,47953,고정비/구독,통신요금
fixed_249,2025-08-06,유튜브프리미엄,122670,고정비/구독,공과금
fixed_250,2024-12-18,관리비,98711,고정비/구독,정기결제
fixed_251,2025-02-23,SKT,63652,고정비/구독,보험료
fixed_252,2025-04-01,넷플릭스,9206,고정비/구독,통신요금
