id,date,merchant,price,category,memo
food_1,2025-09-15,롯데리아,7324,식비,저녁식사
food_2,2025-02-14,투썸플레이스,18868,식비,떡볶이
food_3,2025-04-14,컴포즈커피,5089,식비,아이스아메리카노
food_4,2024-12-22,역전우동,12041,식비,아이스아메리카노
food_5,2025-08-28,맥도날드,8603,식비,도시락
food_6,2024-12-20,맥도날드,14501,식비,간식구매
food_7,2024-11-25,이디야커피,16945,식비,아이스아메리카노
food_8,2025-01-30,역전우동,9199,식비,도시락
food_9,2024-12-28,역전우동,12781,식비,치킨배달
food_10,2025-01-16,메가커피,11658,식비,도시락
food_11,2025-09-06,스타벅스,17682,식비,분식
food_12,2025-03-02,스타벅스,12140,식비,분식
food_13,2025-10-23,교촌치킨,16371,식비,아이스아메리카노
food_14,2025-01-13,투썸플레이스,3376,식비,저녁식사
food_15,2024-12-06,BBQ치킨,12650,식비,치킨배달
food_16,2025-09-08,메가커피,17820,식비,떡볶이
food_17,2025-08-29,컴포즈커피,16233,식비,간식구매
food_18,2025-09-03,도미노피자,4789,식비,점심식사
food_19,2025-07-17,BBQ치킨,6525,식비,저녁식사
food_20,2025-10-01,써브웨이,8787,식비,점심식사
food_21,2025-03-16,스타벅스,14512,식비,간식구매
food_22,2025-04-29,교촌치킨,16792,식비,도시락
food_23,2025-06-17,투썸플레이스,16575,식비,떡볶이
food_24,2025-06-03,투썸플레이스,9550,식비,치킨배달
food_25,2025-10-21,교촌치킨,12879,식비,저녁식사
food_26,2025-09-15,도미노피자,10779,식비,점심식사
food_27,2025-07-10,투썸플레이스,15259,식비,떡볶이
food_28,2025-03-23,써브웨이,18152,식비,점심식사
food_29,2025-11-14,맥도날드,4036,식비,분식
food_30,2025-10-11,김밥천국,12091,식비,치킨배달
food_31,2024-11-21,버거킹,19507,식비,아이스아메리카노
food_32,2025-04-28,투썸플레이스,14808,식비,떡볶이
food_33,2025-08-31,BBQ치킨,14102,식비,분식
food_34,2025-10-19,도미노피자,17170,식비,치킨배달
food_35,2025-01-27,역전우동,9326,식비,치킨배달
food_36,2025-04-17,홍콩반점,9573,식비,저녁식사
food_37,2025-07-14,컴포즈커피,9951,식비,분식
food_38,2025-09-01,스타벅스,12003,식비,치킨배달
food_39,2025-05-24,컴포즈커피,3831,식비,분식
food_40,2025-05-16,메가커피,19027,식비,치킨배달
food_41,2025-08-21,메가커피,16532,식비,치킨배달
food_42,2025-06-27,컴포즈커피,10099,식비,점심식사
food_43,2025-08-12,투썸플레이스,5044,식비,점심식사
food_44,2025-05-27,컴포즈커피,18430,식비,떡볶이
food_45,2025-01-17,버거킹,3032,식비,치킨배달
food_46,2025-03-12,컴포즈커피,10316,식비,저녁식사
food_47,2025-05-22,투썸플레이스,6878,식비,저녁식사
food_48,2025-06-23,BBQ치킨,4818,식비,떡볶이
food_49,2025-02-18,역전우동,13861,식비,치킨배달
food_50,2025-09-03,BBQ치킨,5490,식비,아이스아메리카노
food_51,2025-11-15,스타벅스,8718,식비,간식구매
food_52,2024-12-29,롯데리아,10607,식비,저녁식사
food_53,2025-09-25,버거킹,13714,식비,치킨배달
food_54,2025-11-09,컴포즈커피,19667,식비,떡볶이
food_55,2025-04-13,써브웨이,3243,식비,점심식사
food_56,2025-06-24,써브웨이,11678,식비,도시락
food_57,2025-11-09,메가커피,13744,식비,도시락
food_58,2025-08-03,홍콩반점,5922,식비,분식
food_59,2025-05-22,BBQ치킨,15042,식비,간식구매
food_60,2025-09-11,컴포즈커피,11578,식비,점심식사
food_61,2025-11-10,버거킹,8180,식비,저녁식사
food_62,2025-05-07,맥도날드,8933,식비,점심식사
food_63,2025-07-18,BBQ치킨,4349,식비,점심식사
