id,date,merchant,price,category,memo
leis_1,2025-11-18,PC방,91353,여가/취미/여행,운동비
leis_2,2025-03-14,체육관,134442,여가/취미/여행,운동비
leis_3,2024-12-16,헬스장,446493,여가/취미/여행,게임결제
leis_4,2025-01-24,헬스장,69302,여가/취미/여행,놀이공원
leis_5,2025-10-22,PC방,456514,여가/취미/여행,게임결제
leis_6,2024-12-07,롯데시네마,134313,여가/취미/여행,항공권결제
leis_7,2025-11-02,에버랜드,126812,여가/취미/여행,여행비
leis_8,2025-08-08,롯데월드,94644,여가/취미/여행,놀이공원
leis_9,2025-07-30,호텔예약,274470,여가/취미/여행,게임결제
leis_10,2025-06-06,헬스장,499148,여가/취미/여행,여행비
leis_11,2025-04-21,호텔예약,74766,여가/취미/여행,숙박비
leis_12,2025-11-09,CGV,424274,여가/취미/여행,게임결제
leis_13,2025-01-18,롯데시네마,281227,여가/취미/여행,영화관람
leis_14,2025-10-22,호텔예약,134130,여가/취미/여행,게임결제
leis_15,2025-06-30,롯데월드,20339,여가/취미/여행,항공권결제
leis_16,2025-08-06,CGV,159363,여가/취미/여행,게임결제
leis_17,2025-01-31,CGV,470175,여가/취미/여행,영화관람
leis_18,2025-02-12,게임충전,338877,여가/취미/여행,영화관람
leis_19,2025-10-17,메가박스,180318,여가/취미/여행,여행비
leis_20,2025-04-14,게임충전,217689,여가/취미/여행,놀이공원
leis_21,2025-07-20,메가박스,146534,여가/취미/여행,항공권결제
leis_22,2025-09-12,CGV,435195,여가/취미/여행,놀이공원
leis_23,2025-01-03,항공권,440063,여가/취미/여행,여행비
leis_24,2025-03-15,호텔예약,357716,여가/취미/여행,게임결제
leis_25,2025-01-12,CGV,318851,여가/취미/여행,운동비
leis_26,2025-07-23,항공권,383321,여가/취미/여행,항공권결제
leis_27,2025-05-04,호텔예약,105939,여가/취미/여행,영화관람
leis_28,2025-02-15,헬스장,233008,여가/취미/여행,놀이공원
leis_29,2025-04-10,게임충전,124449,여가/취미/여행,항공권결제
leis_30,2024-12-01,PC방,190455,여가/취미/여행,여행비
leis_31,2025-07-10,메가박스,398737,여가/취미/여행,운동비
leis_32,2025-04-26,CGV,161743,여가/취미/여행,게임결제
leis_33,2025-07-24,롯데시네마,493280,여가/취미/여행,놀이공원
leis_34,2025-09-23,체육관,182092,여가/취미/여행,여행비
leis_35,2025-08-16,메가박스,139296,여가/취미/여행,여행비
leis_36,2025-02-26,항공권,53094,여가/취미/여행,항공권결제
leis_37,2025-02-07,롯데시네마,446441,여가/취미/여행,여행비
leis_38,2025-03-22,PC방,420413,여가/취미/여행,여행비
leis_39,2025-10-15,롯데시네마,59517,여가/취미/여행,항공권결제
leis_40,2025-06-19,PC방,309523,여가/취미/여행,숙박비
leis_41,2025-07-29,체육관,368237,여가/취미/여행,놀이공원
leis_42,2025-02-07,항공권,479426,여가/취미/여행,게임결제
leis_43,2025-06-17,PC방,455587,여가/취미/여행,게임결제
leis_44,2025-09-05,호텔예약,374559,여가/취미/여행,숙박비
leis_45,2025-10-04,롯데월드,474990,여가/취미/여행,여행비
leis_46,2025-03-30,메가박스,420257,여가/취미/여행,놀이공원
leis_47,2025-01-07,헬스장,80404,여가/취미/여행,게임결제
leis_48,2025-03-01,호텔예약,167870,여가/취미/여행,여행비
leis_49,2025-03-14,게임충전,461670,여가/취미/여행,운동비
leis_50,2025-02-09,메가박스,218198,여가/취미/여행,게임결제
leis_51,2025-02-25,항공권,487002,여가/취미/여행,운동비
leis_52,2025-08-22,롯데시네마,496645,여가/취미/여행,운동비
leis_53,2025-03-30,CGV,126783,여가/취미/여행,게임결제
leis_54,2025-02-22,호텔예약,237740,여가/취미/여행,운동비
leis_55,2025-03-07,호텔예약,246036,여가/취미/여행,여행비
leis_56,2025-08-06,롯데월드,98829,여가/취미/여행,항공권결제
leis_57,2025-02-06,게임충전,395155,여가/취미/여행,숙박비
leis_58,2025-01-01,호텔예약,272183,여가/취미/여행,게임결제
leis_59,2025-02-18,메가박스,116521,여가/취미/여행,운동비
leis_60,2025-08-12,메가박스,368758,여가/취미/여행,놀이공원
leis_61,2025-06-28,메가박스,305577,여가/취미/여행,놀이공원
leis_62,2025-03-28,헬스장,266720,여가/취미/여행,놀이공원
leis_63,2025-03-04,항공권,47805,여가/취미/여행,놀이공원
leis_64,2025-01-01,롯데월드,422592,여가/취미/여행,숙박비
leis_65,2025-08-15,롯데월드,347194,여가/취미/여행,운동비
leis_66,2025-07-18,메가박스,160811,여가/취미/여행,항공권결제
leis_67,2024-11-28,헬스장,445964,여가/취미/여행,영화관람
leis_68,2025-04-05,롯데월드,250939,여가/취미/여행,항공권결제
leis_69,2025-07-16,체육관,104119,여가/취미/여행,영화관람
leis_70,2025-11-02,항공권,472222,여가/취미/여행,운동비
leis_71,2025-04-04,롯데시네마,169579,여가/취미/여행,게임결제
leis_72,2025-09-05,게임충전,123797,여가/취미/여행,게임결제
leis_73,2025-10-23,에버랜드,135495,여가/취미/여행,영화관람
leis_74,2025-09-25,CGV,118485,여가/취미/여행,게임결제
leis_75,2025-03-28,메가박스,405111,여가/취미/여행,숙박비
leis_76,2025-11-20,호텔예약,116847,여가/취미/여행,영화관람
leis_77,2025-01-23,CGV,269335,여가/취미/여행,놀이공원
leis_78,2024-11-29,게임충전,38954,여가/취미/여행,운동비
leis_79,2025-09-02,항공권,232301,여가/취미/여행,영화관람
leis_80,2025-07-07,롯데월드,166476,여가/취미/여행,여행비
leis_81,2025-01-08,롯데월드,39393,여가/취미/여행,게임결제
leis_82,2025-02-03,CGV,163768,여가/취미/여행,숙박비
leis_83,2025-07-20,롯데시네마,12134,여가/취미/여행,여행비
leis_84,2025-04-12,항공권,156816,여가/취미/여행,영화관람
leis_85,2025-06-10,항공권,493402,여가/취미/여행,항공권결제
leis_86,2025-11-16,CGV,114045,여가/취미/여행,영화관람
leis_87,2025-06-08,체육관,276076,여가/취미/여행,운동비
leis_88,2025-07-13,체육관,44739,여가/취미/여행,숙박비
leis_89,2025-08-27,게임충전,440454,여가/취미/여행,항공권결제
leis_90,2025-11-10,롯데시네마,475481,여가/취미/여행,게임결제
leis_91,2025-06-27,체육관,230386,여가/취미/여행,놀이공원
leis_92,2025-03-29,PC방,488238,여가/취미/여행,놀이공원
leis_93,2025-09-28,게임충전,351039,여가/취미/여행,숙박비
leis_94,2025-05-24,PC방,145834,여가/취미/여행,놀이공원
leis_95,2025-10-05,항공권,321429,여가/취미/여행,놀이공원
leis_96,2025-04-10,항공권,202641,여가/취미/여행,숙박비
leis_97,2024-12-28,롯데시네마,312496,여가/취미/여행,게임결제
leis_98,2025-11-10,호텔예약,291656,여가/취미/여행,숙박비
leis_99,2025-08-15,메가박스,141374,여가/취미/여행,운동비
leis_100,2025-05-13,호텔예약,229208,여가/취미/여행,여행비
leis_101,2025-09-18,롯데월드,365926,여가/취미/여행,영화관람
leis_102,2025-07-11,롯데시네마,79587,여가/취미/여행,항공권결제
leis_103,2025-09-07,PC방,152922,여가/취미/여행,영화관람
leis_104,2025-10-06,PC방,437131,여가/취미/여행,게임결제
leis_105,2025-06-04,게임충전,431479,여가/취미/여행,놀이공원
leis_106,2025-05-24,롯데시네마,37204,여가/취미/여행,게임결제
leis_107,2025-06-04,헬스장,436038,여가/취미/여행,숙박비
leis_108,2024-11-20,롯데시네마,392829,여가/취미/여행,영화관람
leis_109,2025-05-11,메가박스,295558,여가/취미/여행,여행비
leis_110,2025-01-23,체육관,240579,여가/취미/여행,운동비
leis_111,2025-06-04,롯데시네마,380716,여가/취미/여행,영화관람
leis_112,2025-09-08,게임충전,27784,여가/취미/여행,여행비
leis_113,2025-07-26,에버랜드,174153,여가/취미/여행,영화관람
leis_114,2024-12-02,PC방,362932,여가/취미/여행,운동비
leis_115,2025-03-16,에버랜드,145937,여가/취미/여행,영화관람
leis_116,2024-12-27,PC방,457757,여가/취미/여행,숙박비
leis_117,2025-07-08,CGV,65063,여가/취미/여행,놀이공원
leis_118,2025-05-06,CGV,280056,여가/취미/여행,숙박비
leis_119,2025-02-21,CGV,82509,여가/취미/여행,숙박비
leis_120,2025-04-10,메가박스,217046,여가/취미/여행,영화관람
leis_121,2024-12-13,호텔예약,9475,여가/취미/여행,영화관람
leis_122,2025-06-13,항공권,397452,여가/취미/여행,영화관람
leis_123,2025-06-29,롯데월드,373673,여가/취미/여행,여행비
leis_124,2025-11-03,헬스장,499088,여가/취미/여행,항공권결제
leis_125,2025-02-21,에버랜드,497748,여가/취미/여행,게임결제
leis_126,2025-01-05,항공권,268930,여가/취미/여행,게임결제
leis_127,2024-11-24,체육관,99011,여가/취미/여행,항공권결제
leis_128,2025-03-13,롯데시네마,347407,여가/취미/여행,게임결제
leis_129,2025-01-17,에버랜드,260144,여가/취미/여행,게임결제
leis_130,2025-01-27,CGV,305821,여가/취미/여행,여행비
leis_131,2025-08-07,항공권,96077,여가/취미/여행,게임결제
leis_132,2024-12-08,호텔예약,174498,여가/취미/여행,여행비
leis_133,2025-05-23,헬스장,110440,여가/취미/여행,항공권결제
leis_134,2025-01-24,PC방,50172,여가/취미/여행,항공권결제
leis_135,2025-09-14,CGV,289210,여가/취미/여행,운동비
leis_136,2025-09-28,롯데시네마,268471,여가/취미/여행,여행비
leis_137,2025-08-12,게임충전,193298,여가/취미/여행,놀이공원
leis_138,2025-06-22,게임충전,20163,여가/취미/여행,영화관람
leis_139,2025-04-10,게임충전,23072,여가/취미/여행,영화관람
leis_140,2024-12-22,CGV,7796,여가/취미/여행,게임결제
leis_141,2025-01-04,호텔예약,454517,여가/취미/여행,영화관람
leis_142,2025-06-24,에버랜드,160165,여가/취미/여행,영화관람
leis_143,2025-06-07,CGV,394682,여가/취미/여행,영화관람
leis_144,2025-04-09,PC방,333518,여가/취미/여행,숙박비
leis_145,2025-06-29,에버랜드,234376,여가/취미/여행,게임결제
leis_146,2025-07-18,체육관,90658,여가/취미/여행,여행비
leis_147,2025-01-20,롯데시네마,100076,여가/취미/여행,게임결제
leis_148,2025-02-23,체육관,256064,여가/취미/여행,영화관람
leis_149,2025-08-10,롯데월드,250214,여가/취미/여행,게임결제
leis_150,2025-09-06,에버랜드,119448,여가/취미/여행,숙박비
leis_151,2025-07-30,호텔예약,309639,여가/취미/여행,운동비
leis_152,2025-02-03,에버랜드,143794,여가/취미/여행,운동비
leis_153,2024-11-29,롯데시네마,443226,여가/취미/여행,영화관람
leis_154,2025-06-01,체육관,284281,여가/취미/여행,항공권결제
leis_155,2025-01-30,호텔예약,385501,여가/취미/여행,놀이공원
leis_156,2025-01-20,헬스장,237090,여가/취미/여행,게임결제
leis_157,2025-03-15,호텔예약,15438,여가/취미/여행,놀이공원
leis_158,2025-06-15,PC방,371359,여가/취미/여행,운동비
leis_159,2025-05-18,에버랜드,375129,여가/취미/여행,운동비
leis_160,2025-05-01,체육관,158271,여가/취미/여행,놀이공원
leis_161,2025-07-02,롯데시네마,74651,여가/취미/여행,여행비
leis_162,2025-04-10,PC방,313810,여가/취미/여행,숙박비
leis_163,2025-04-25,메가박스,387064,여가/취미/여행,항공권결제
leis_164,2025-05-30,호텔예약,424646,여가/취미/여행,놀이공원
