id,date,merchant,price,category,memo
life_1,2025-02-08,이마트,36487,생활,청소용품구매
life_2,2025-02-10,이마트,4474,생활,청소용품구매
life_3,2024-12-13,문구점,19251,생활,화장지구매
life_4,2025-02-25,이마트,10346,생활,청소용품구매
life_5,2025-05-20,올리브영,22063,생활,문구류구매
life_6,2025-06-29,동네마트,33674,생활,청소용품구매
life_7,2025-02-04,다이소,17022,생활,청소용품구매
life_8,2024-12-17,다이소,22961,생활,화장지구매
life_9,2025-04-14,편의점GS25,23476,생활,청소용품구매
life_10,2025-09-24,홈플러스,45330,생활,장보기
life_11,2025-10-25,롯데마트,27687,생활,문구류구매
life_12,2025-01-09,이마트,14911,생활,화장지구매
life_13,2025-04-10,동네마트,53753,생활,화장지구매
life_14,2025-10-22,편의점세븐일레븐,10512,생활,장보기
life_15,2025-09-30,이마트,28945,생활,생필품구매
life_16,2025-03-31,동네마트,4385,생활,생필품구매
life_17,2025-03-11,동네마트,22907,생활,화장지구매
life_18,2025-01-04,홈플러스,19561,생활,청소용품구매
life_19,2025-11-15,롯데마트,24792,생활,문구류구매
life_20,2024-12-12,다이소,36719,생활,화장지구매
life_21,2025-06-25,롯데마트,11025,생활,생필품구매
life_22,2025-10-14,올리브영,26001,생활,청소용품구매
life_23,2025-11-14,동네마트,49870,생활,청소용품구매
life_24,2025-11-15,이마트,27712,생활,화장지구매
life_25,2025-01-01,문구점,58154,생활,문구류구매
life_26,2025-07-06,노브랜드,53387,생활,생필품구매
life_27,2025-03-23,올리브영,58146,생활,주방용품구매
life_28,2025-05-29,올리브영,33479,생활,문구류구매
life_29,2025-11-12,문구점,6884,생활,장보기
life_30,2025-08-13,홈플러스,38514,생활,생필품구매
life_31,2025-07-01,노브랜드,10334,생활,장보기
life_32,2025-03-25,편의점GS25,23033,생활,문구류구매
life_33,2025-03-20,편의점세븐일레븐,49971,생활,청소용품구매
life_34,2025-07-13,롯데마트,47328,생활,장보기
life_35,2025-03-09,이마트,17795,생활,화장지구매
life_36,2024-12-28,편의점CU,35680,생활,문구류구매
life_37,2025-11-02,편의점CU,11705,생활,장보기
life_38,2025-10-01,올리브영,9915,생활,장보기
life_39,2025-11-16,편의점CU,58423,생활,생필품구매
life_40,2025-05-25,올리브영,53700,생활,생필품구매
life_41,2025-06-22,편의점세븐일레븐,26237,생활,청소용품구매
life_42,2025-01-17,편의점CU,19413,생활,생필품구매
life_43,2025-05-16,편의점GS25,24015,생활,생필품구매
life_44,2025-08-25,이마트,22397,생활,화장지구매
life_45,2025-09-12,롯데마트,19674,생활,장보기
life_46,2025-05-20,문구점,3290,생활,문구류구매
life_47,2025-10-10,이마트,7778,생활,주방용품구매
life_48,2025-02-13,편의점GS25,45295,생활,주방용품구매
life_49,2025-06-20,편의점CU,41959,생활,화장지구매
life_50,2025-01-11,노브랜드,24841,생활,주방용품구매
life_51,2024-11-28,문구점,7204,생활,청소용품구매
life_52,2025-03-09,편의점CU,15314,생활,장보기
life_53,2025-06-29,편의점GS25,29830,생활,주방용품구매
life_54,2025-01-05,편의점GS25,47295,생활,화장지구매
life_55,2025-08-31,다이소,26757,생활,장보기
life_56,2025-06-12,문구점,15614,생활,문구류구매
life_57,2025-08-14,편의점세븐일레븐,57357,생활,장보기
life_58,2025-03-21,롯데마트,9455,생활,주방용품구매
life_59,2025-01-05,다이소,49722,생활,청소용품구매
life_60,2025-03-04,편의점GS25,32028,생활,장보기
life_61,2025-06-20,이마트,16394,생활,생필품구매
life_62,2025-09-01,롯데마트,32080,생활,청소용품구매
life_63,2025-10-09,롯데마트,39491,생활,생필품구매
life_64,2025-07-14,편의점세븐일레븐,51073,생활,화장지구매
life_65,2025-09-16,편의점CU,51935,생활,장보기
life_66,2025-05-01,롯데마트,11178,생활,장보기
life_67,2025-01-28,동네마트,10406,생활,장보기
life_68,2025-03-05,이마트,49068,생활,청소용품구매
life_69,2024-12-23,다이소,20784,생활,생필품구매
life_70,2025-01-22,문구점,37469,생활,화장지구매
life_71,2025-04-19,홈플러스,50770,생활,장보기
life_72,2025-03-11,롯데마트,16963,생활,청소용품구매
life_73,2025-02-08,이마트,56481,생활,화장지구매
life_74,2024-12-12,편의점CU,55862,생활,생필품구매
life_75,2025-02-20,편의점GS25,24724,생활,청소용품구매
life_76,2025-02-22,홈플러스,33100,생활,장보기
life_77,2024-12-31,올리브영,19540,생활,문구류구매
life_78,2025-09-14,문구점,29394,생활,생필품구매
life_79,2025-07-10,동네마트,3364,생활,청소용품구매
life_80,2025-06-05,편의점세븐일레븐,20848,생활,문구류구매
life_81,2025-10-16,올리브영,58824,생활,주방용품구매
life_82,2025-03-21,편의점세븐일레븐,36996,생활,청소용품구매
life_83,2025-07-23,문구점,41351,생활,장보기
life_84,2025-05-22,편의점세븐일레븐,26377,생활,화장지구매
life_85,2025-06-17,문구점,49373,생활,화장지구매
life_86,2025-02-16,편의점세븐일레븐,55715,생활,문구류구매
