id,date,merchant,price,category,memo
med_1,2025-09-22,서울의원,8913,의료,감기약구매
med_2,2025-10-11,연세치과,21448,의료,감기약구매
med_3,2025-04-02,삼성병원,43747,의료,파스구매
med_4,2024-12-12,해피약국,45621,의료,소화제구매
med_5,2025-09-12,연세치과,8177,의료,소화제구매
med_6,2025-05-12,서울의원,24932,의료,처방전조제
med_7,2025-02-20,삼성병원,28634,의료,검진비
med_8,2025-01-12,해피약국,44484,의료,파스구매
med_9,2025-10-17,우리약국,17384,의료,병원진료
med_10,2025-11-11,삼성병원,45381,의료,검진비
med_11,2025-06-18,연세치과,23422,의료,검진비
med_12,2025-08-23,연세치과,9918,의료,파스구매
med_13,2025-10-25,서울의원,11417,의료,병원진료
med_14,2025-02-06,연세치과,31778,의료,소화제구매
med_15,2025-11-07,한의원OO,17176,의료,처방전조제
med_16,2025-03-22,한의원OO,21111,의료,검진비
med_17,2025-01-10,서울의원,29332,의료,소화제구매
med_18,2025-01-04,우리약국,47805,의료,감기약구매
med_19,2025-06-16,동네병원,11697,의료,감기약구매
med_20,2025-08-08,동네병원,37661,의료,파스구매
med_21,2025-08-17,연세치과,42068,의료,파스구매
med_22,2025-07-10,우리약국,31408,의료,처방전조제
med_23,2024-11-23,연세치과,13707,의료,감기약구매
med_24,2025-05-13,서울의원,8705,의료,병원진료
med_25,2025-10-11,한의원OO,32575,의료,병원진료
med_26,2025-01-13,서울의원,32637,의료,처방전조제
med_27,2025-08-17,연세치과,39897,의료,감기약구매
med_28,2025-04-19,우리약국,28293,의료,처방전조제
med_29,2025-07-11,삼성병원,20499,의료,병원진료
med_30,2024-12-07,해피약국,44154,의료,파스구매
med_31,2025-10-17,서울의원,28250,의료,처방전조제
med_32,2025-06-02,동네병원,10541,의료,병원진료
med_33,2024-12-03,삼성병원,14729,의료,처방전조제
med_34,2025-11-16,동네병원,17793,의료,파스구매
med_35,2025-09-23,동네병원,48665,의료,병원진료
med_36,2025-06-27,해피약국,36677,의료,검진비
med_37,2025-06-10,동네병원,16400,의료,소화제구매
med_38,2025-01-21,우리약국,35451,의료,소화제구매
med_39,2025-04-22,서울의원,38715,의료,처방전조제
med_40,2025-05-06,한의원OO,23022,의료,파스구매
med_41,2025-03-09,삼성병원,35948,의료,검진비
med_42,2025-01-31,해피약국,18425,의료,소화제구매
med_43,2025-09-11,동네병원,13671,의료,처방전조제
med_44,2025-08-05,연세치과,26255,의료,파스구매
