id,date,merchant,price,category,memo
shop_1,2025-03-21,에이블리,21504,쇼핑,온라인구매
shop_2,2025-10-04,교보문고,42767,쇼핑,생활소품주문
shop_3,2025-04-26,YES24,197183,쇼핑,도서구매
shop_4,2025-01-28,11번가,177661,쇼핑,책주문
shop_5,2025-05-13,쿠팡,75215,쇼핑,온라인구매
shop_6,2024-11-30,쿠팡,130842,쇼핑,의류구매
shop_7,2025-08-27,스마트스토어,166893,쇼핑,책주문
shop_8,2025-01-25,교보문고,63346,쇼핑,온라인구매
shop_9,2025-09-16,영풍문고,107619,쇼핑,온라인구매
shop_10,2025-08-09,W컨셉,148629,쇼핑,도서구매
shop_11,2025-08-10,알라딘,176851,쇼핑,도서구매
shop_12,2025-10-02,쿠팡,23035,쇼핑,책주문
shop_13,2025-08-23,지그재그,158421,쇼핑,의류구매
shop_14,2025-09-15,스마트스토어,106541,쇼핑,온라인구매
shop_15,2025-04-14,영풍문고,170119,쇼핑,신발구매
shop_16,2025-07-16,무신사,169274,쇼핑,신발구매
shop_17,2025-03-08,11번가,87164,쇼핑,도서구매
shop_18,2025-09-14,스마트스토어,110787,쇼핑,생활소품주문
shop_19,2025-06-16,쿠팡,194921,쇼핑,문구류구매
shop_20,2025-01-03,W컨셉,36125,쇼핑,문구류구매
shop_21,2025-05-15,W컨셉,24479,쇼핑,온라인구매
shop_22,2025-10-13,W컨셉,109103,쇼핑,생활소품주문
shop_23,2025-09-04,YES24,75644,쇼핑,생활소품주문
shop_24,2024-12-29,쿠팡,124480,쇼핑,책주문
shop_25,2024-12-13,YES24,153423,쇼핑,문구류구매
shop_26,2025-07-25,지그재그,110516,쇼핑,온라인구매
shop_27,2025-08-02,G마켓,66145,쇼핑,도서구매
shop_28,2025-03-14,무신사,147259,쇼핑,온라인구매
shop_29,2025-05-30,마켓컬리,159529,쇼핑,의류구매
shop_30,2024-12-30,마켓컬리,28147,쇼핑,문구류구매
shop_31,2025-02-07,지그재그,26986,쇼핑,신발구매
shop_32,2025-03-03,11번가,91082,쇼핑,문구류구매
shop_33,2025-08-07,YES24,85806,쇼핑,도서구매
shop_34,2025-09-01,스마트스토어,61780,쇼핑,신발구매
shop_35,2025-06-12,알라딘,46706,쇼핑,책주문
shop_36,2025-11-13,지그재그,139116,쇼핑,온라인구매
shop_37,2025-02-11,교보문고,90065,쇼핑,문구류구매
shop_38,2025-08-12,W컨셉,122749,쇼핑,책주문
shop_39,2025-01-15,무신사,118857,쇼핑,도서구매
shop_40,2024-11-28,쿠팡,62932,쇼핑,문구류구매
shop_41,2025-06-08,스마트스토어,59875,쇼핑,책주문
shop_42,2025-01-30,SSG닷컴,77443,쇼핑,도서구매
shop_43,2025-07-31,YES24,153840,쇼핑,책주문
shop_44,2025-04-21,무신사,46301,쇼핑,생활소품주문
shop_45,2025-09-29,에이블리,138069,쇼핑,온라인구매
shop_46,2025-05-16,11번가,196966,쇼핑,생활소품주문
shop_47,2025-10-13,SSG닷컴,32178,쇼핑,의류구매
shop_48,2025-11-16,11번가,131333,쇼핑,신발구매
shop_49,2025-05-03,지그재그,104772,쇼핑,온라인구매
shop_50,2025-02-18,쿠팡,54274,쇼핑,온라인구매
shop_51,2024-12-12,영풍문고,42217,쇼핑,책주문
shop_52,2024-12-24,스마트스토어,119113,쇼핑,문구류구매
shop_53,2025-02-14,알라딘,38645,쇼핑,생활소품주문
shop_54,2025-10-19,에이블리,36013,쇼핑,생활소품주문
shop_55,2025-11-02,마켓컬리,168827,쇼핑,책주문
shop_56,2025-03-20,G마켓,166820,쇼핑,도서구매
shop_57,2025-03-16,마켓컬리,42339,쇼핑,온라인구매
shop_58,2025-03-13,무신사,144328,쇼핑,온라인구매
shop_59,2025-10-30,무신사,191017,쇼핑,책주문
shop_60,2025-06-09,스마트스토어,195793,쇼핑,생활소품주문
shop_61,2025-02-20,11번가,33496,쇼핑,신발구매
shop_62,2025-05-14,YES24,27421,쇼핑,온라인구매
shop_63,2025-09-25,영풍문고,138897,쇼핑,온라인구매
shop_64,2024-11-21,G마켓,136604,쇼핑,문구류구매
shop_65,2025-06-11,무신사,164547,쇼핑,문구류구매
shop_66,2025-11-09,마켓컬리,142984,쇼핑,의류구매
shop_67,2024-11-22,쿠팡,96902,쇼핑,온라인구매
shop_68,2025-11-08,G마켓,157162,쇼핑,책주문
shop_69,2025-05-03,스마트스토어,28468,쇼핑,의류구매
shop_70,2025-08-09,교보문고,131289,쇼핑,생활소품주문
shop_71,2025-11-15,영풍문고,60957,쇼핑,의류구매
shop_72,2025-09-29,에이블리,50445,쇼핑,의류구매
shop_73,2025-05-08,알라딘,137100,쇼핑,신발구매
shop_74,2025-04-11,지그재그,151302,쇼핑,도서구매
shop_75,2025-10-25,알라딘,78808,쇼핑,책주문
shop_76,2025-01-26,YES24,152690,쇼핑,문구류구매
shop_77,2025-11-03,G마켓,26258,쇼핑,도서구매
shop_78,2025-02-03,지그재그,43747,쇼핑,도서구매
shop_79,2025-08-03,SSG닷컴,148058,쇼핑,신발구매
shop_80,2025-06-08,W컨셉,188442,쇼핑,온라인구매
shop_81,2025-03-19,에이블리,172588,쇼핑,생활소품주문
shop_82,2025-11-03,영풍문고,89152,쇼핑,의류구매
shop_83,2025-06-19,11번가,148560,쇼핑,책주문
shop_84,2025-05-03,쿠팡,52207,쇼핑,도서구매
shop_85,2025-09-28,11번가,99499,쇼핑,신발구매
shop_86,2025-03-28,교보문고,79970,쇼핑,생활소품주문
shop_87,2025-03-11,W컨셉,111471,쇼핑,온라인구매
shop_88,2025-02-16,W컨셉,184490,쇼핑,의류구매
shop_89,2025-03-23,교보문고,191840,쇼핑,책주문
shop_90,2025-05-28,교보문고,49621,쇼핑,의류구매
shop_91,2025-05-10,쿠팡,173555,쇼핑,도서구매
shop_92,2025-09-22,W컨셉,85382,쇼핑,신발구매
shop_93,2024-12-25,11번가,92236,쇼핑,온라인구매
shop_94,2025-08-08,에이블리,127653,쇼핑,생활소품주문
shop_95,2025-09-27,스마트스토어,88124,쇼핑,의류구매
shop_96,2025-01-19,G마켓,113718,쇼핑,도서구매
shop_97,2025-03-20,SSG닷컴,55771,쇼핑,신발구매
shop_98,2025-03-13,마켓컬리,122047,쇼핑,의류구매
shop_99,2025-02-09,11번가,12216,쇼핑,신발구매
shop_100,2025-03-15,YES24,23856,쇼핑,책주문
shop_101,2025-08-08,스마트스토어,67136,쇼핑,책주문
shop_102,2025-01-17,YES24,108860,쇼핑,온라인구매
shop_103,2024-11-20,쿠팡,184527,쇼핑,온라인구매
shop_104,2024-11-22,에이블리,49855,쇼핑,문구류구매
shop_105,2025-03-26,무신사,35151,쇼핑,온라인구매
shop_106,2025-03-23,교보문고,79107,쇼핑,온라인구매
shop_107,2025-02-27,SSG닷컴,50508,쇼핑,온라인구매
shop_108,2025-10-16,YES24,70088,쇼핑,온라인구매
shop_109,2025-03-03,SSG닷컴,13158,쇼핑,책주문
shop_110,2025-05-22,SSG닷컴,94910,쇼핑,의류구매
shop_111,2025-02-28,영풍문고,105493,쇼핑,문구류구매
shop_112,2025-04-15,SSG닷컴,48896,쇼핑,온라인구매
shop_113,2025-06-10,지그재그,137877,쇼핑,문구류구매
shop_114,2025-04-17,쿠팡,54426,쇼핑,의류구매
shop_115,2025-08-21,지그재그,157777,쇼핑,도서구매
shop_116,2025-10-21,쿠팡,109214,쇼핑,책주문
shop_117,2025-08-28,에이블리,101755,쇼핑,문구류구매
shop_118,2025-03-30,W컨셉,160790,쇼핑,도서구매
shop_119,2024-12-30,영풍문고,135331,쇼핑,의류구매
shop_120,2025-07-30,스마트스토어,56853,쇼핑,생활소품주문
shop_121,2025-08-08,SSG닷컴,187933,쇼핑,문구류구매
shop_122,2025-05-20,마켓컬리,152120,쇼핑,의류구매
shop_123,2025-08-20,W컨셉,96020,쇼핑,문구류구매
shop_124,2025-03-27,지그재그,152504,쇼핑,문구류구매
shop_125,2025-06-30,영풍문고,180902,쇼핑,생활소품주문
shop_126,2025-02-23,스마트스토어,198426,쇼핑,온라인구매
