id,date,merchant,price,category,memo
tax_1,2025-01-20,공공기관,456674,세금/공공요금,과태료
tax_2,2025-01-14,구청,442769,세금/공공요금,과태료
tax_3,2025-11-17,구청,407166,세금/공공요금,세금납부
tax_4,2025-06-09,구청,330955,세금/공공요금,수수료
tax_5,2025-11-20,주민센터,386127,세금/공공요금,주차요금
tax_6,2025-03-24,주민센터,314483,세금/공공요금,세금납부
tax_7,2025-11-15,국세청,427977,세금/공공요금,주차요금
tax_8,2025-01-09,공공기관,392331,세금/공공요금,공공요금
tax_9,2025-10-26,국세청,399395,세금/공공요금,주차요금
tax_10,2025-08-21,공영주차장,33014,세금/공공요금,주차요금
tax_11,2025-02-16,지방세,304931,세금/공공요금,세금납부
tax_12,2025-05-25,공영주차장,489231,세금/공공요금,세금납부
tax_13,2025-07-17,국세청,461316,세금/공공요금,등록비
tax_14,2025-08-11,도로교통공단,254845,세금/공공요금,주차요금
tax_15,2025-06-22,공영주차장,10148,세금/공공요금,과태료
tax_16,2025-07-28,주민센터,83360,세금/공공요금,주차요금
tax_17,2025-11-19,지방세,237485,세금/공공요금,세금납부
tax_18,2025-06-10,지방세,168182,세금/공공요금,수수료
tax_19,2025-05-26,국세청,112366,세금/공공요금,등록비
tax_20,2025-03-04,국세청,269951,세금/공공요금,등록비
tax_21,2025-08-05,도로교통공단,351420,세금/공공요금,공공요금
tax_22,2025-05-03,도로교통공단,149499,세금/공공요금,주차요금
tax_23,2025-02-07,국세청,395364,세금/공공요금,과태료
tax_24,2025-10-21,국세청,419712,세금/공공요금,세금납부
tax_25,2025-11-08,도로교통공단,283616,세금/공공요금,공공요금
tax_26,2025-09-25,국세청,257016,세금/공공요금,등록비
tax_27,2024-12-29,지방세,421942,세금/공공요금,주차요금
tax_28,2025-05-18,지방세,278151,세금/공공요금,과태료
tax_29,2025-03-08,주민센터,175562,세금/공공요금,세금납부
tax_30,2024-12-27,지방세,48995,세금/공공요금,수수료
tax_31,2025-06-26,국세청,18081,세금/공공요금,공공요금
tax_32,2025-07-21,주민센터,323253,세금/공공요금,과태료
tax_33,2025-09-15,공영주차장,494747,세금/공공요금,등록비
tax_34,2025-02-01,공공기관,108012,세금/공공요금,수수료
tax_35,2025-08-01,공영주차장,269327,세금/공공요금,세금납부
tax_36,2025-01-25,국세청,39832,세금/공공요금,등록비
tax_37,2025-08-16,지방세,44478,세금/공공요금,주차요금
tax_38,2025-10-26,국세청,430795,세금/공공요금,수수료
tax_39,2025-10-25,국세청,430487,세금/공공요금,주차요금
tax_40,2025-09-22,도로교통공단,454414,세금/공공요금,수수료
tax_41,2025-06-03,도로교통공단,15122,세금/공공요금,과태료
tax_42,2025-02-09,구청,180011,세금/공공요금,세금납부
tax_43,2025-01-03,도로교통공단,429344,세금/공공요금,주차요금
tax_44,2025-10-27,도로교통공단,278850,세금/공공요금,등록비
tax_45,2025-05-08,지방세,213851,세금/공공요금,주차요금
tax_46,2024-12-14,국세청,240571,세금/공공요금,주차요금
tax_47,2025-07-18,공영주차장,409202,세금/공공요금,공공요금
tax_48,2025-10-18,공공기관,350868,세금/공공요금,과태료
tax_49,2025-04-13,도로교통공단,407379,세금/공공요금,수수료
