id,date,merchant,price,category,memo
transport_1,2025-08-23,고속버스,18628,교통,버스요금
transport_2,2025-10-08,지하철역,13705,교통,버스요금
transport_3,2025-06-02,버스요금,10291,교통,버스요금
transport_4,2025-02-28,고속버스,14268,교통,지하철요금
transport_5,2025-09-13,KTX,1568,교통,대중교통
transport_6,2024-12-10,KTX,19344,교통,택시요금
transport_7,2025-08-18,SRT,1805,교통,대중교통
transport_8,2025-05-31,KTX,5692,교통,대중교통
transport_9,2025-07-05,고속버스,17671,교통,택시요금
transport_10,2025-08-26,지하철역,3821,교통,지하철요금
transport_11,2024-12-23,택시요금카카오T,14051,교통,대중교통
transport_12,2025-10-30,지하철역,6678,교통,출퇴근비
transport_13,2025-11-18,SRT,13790,교통,이동비용
transport_14,2025-01-08,지하철역,12619,교통,출퇴근비
transport_15,2025-03-24,KTX,8140,교통,버스요금
transport_16,2025-10-14,SRT,8540,교통,지하철요금
transport_17,2025-09-14,고속버스,4748,교통,버스요금
transport_18,2025-08-02,택시요금카카오T,19628,교통,대중교통
transport_19,2025-03-01,고속버스,3425,교통,택시요금
transport_20,2025-06-23,버스요금,5615,교통,이동비용
transport_21,2025-05-11,고속버스,5517,교통,이동비용
transport_22,2025-05-15,버스요금,18357,교통,택시요금
transport_23,2025-10-05,KTX,15270,교통,택시요금
transport_24,2025-10-24,SRT,13530,교통,출퇴근비
transport_25,2025-01-29,택시요금카카오T,19086,교통,출퇴근비
transport_26,2025-07-24,SRT,3298,교통,버스요금
transport_27,2025-09-14,지하철역,6459,교통,택시요금
transport_28,2025-05-15,버스요금,19985,교통,이동비용
transport_29,2025-04-12,KTX,2629,교통,대중교통
transport_30,2025-06-29,KTX,9353,교통,버스요금
transport_31,2025-04-04,SRT,17479,교통,택시요금
transport_32,2025-10-12,버스요금,7809,교통,대중교통
transport_33,2025-01-22,택시요금카카오T,8306,교통,대중교통
transport_34,2025-06-17,고속버스,10989,교통,출퇴근비
transport_35,2025-09-10,SRT,15241,교통,출퇴근비
transport_36,2025-06-16,택시요금카카오T,11436,교통,출퇴근비
transport_37,2025-04-19,지하철역,19267,교통,이동비용
transport_38,2025-04-12,택시요금카카오T,6145,교통,버스요금
transport_39,2025-06-06,지하철역,4780,교통,지하철요금
transport_40,2025-05-20,버스요금,15545,교통,대중교통
transport_41,2025-05-01,SRT,9006,교통,출퇴근비
transport_42,2025-01-14,SRT,15285,교통,버스요금
transport_43,2025-09-29,지하철역,11440,교통,버스요금
transport_44,2025-06-07,지하철역,19860,교통,버스요금
transport_45,2025-06-28,고속버스,17821,교통,택시요금
transport_46,2025-07-04,버스요금,11769,교통,버스요금
transport_47,2025-03-15,KTX,1844,교통,출퇴근비
transport_48,2025-07-02,택시요금카카오T,12445,교통,대중교통
transport_49,2025-10-15,SRT,4095,교통,지하철요금
transport_50,2025-08-18,고속버스,3958,교통,이동비용
transport_51,2025-08-06,KTX,19447,교통,대중교통
transport_52,2025-08-12,고속버스,8922,교통,출퇴근비
transport_53,2025-05-16,지하철역,4993,교통,지하철요금
transport_54,2025-11-06,고속버스,15540,교통,이동비용
transport_55,2025-03-02,SRT,8459,교통,지하철요금
transport_56,2024-12-12,KTX,12944,교통,출퇴근비
transport_57,2025-01-05,SRT,8170,교통,대중교통
transport_58,2025-08-08,고속버스,3784,교통,출퇴근비
transport_59,2025-09-20,SRT,2102,교통,이동비용
transport_60,2025-10-18,KTX,18390,교통,이동비용
transport_61,2025-10-01,버스요금,4218,교통,이동비용
transport_62,2025-01-03,택시요금카카오T,9507,교통,버스요금
transport_63,2025-06-15,지하철역,8563,교통,출퇴근비
transport_64,2025-08-30,SRT,4948,교통,지하철요금
transport_65,2025-05-16,지하철역,17300,교통,출퇴근비
transport_66,2025-10-10,지하철역,13847,교통,대중교통
transport_67,2025-04-17,SRT,14396,교통,이동비용
transport_68,2025-09-23,고속버스,6938,교통,택시요금
transport_69,2025-11-06,SRT,18944,교통,출퇴근비
transport_70,2025-10-31,지하철역,13751,교통,대중교통
transport_71,2025-02-08,택시요금카카오T,17194,교통,버스요금
transport_72,2025-06-06,SRT,8751,교통,지하철요금
transport_73,2025-08-09,KTX,16298,교통,출퇴근비
transport_74,2025-05-23,SRT,3598,교통,지하철요금
transport_75,2025-06-25,지하철역,6202,교통,대중교통
transport_76,2025-09-26,지하철역,1387,교통,출퇴근비
transport_77,2025-05-31,택시요금카카오T,12994,교통,택시요금
transport_78,2025-01-18,택시요금카카오T,9581,교통,출퇴근비
transport_79,2025-07-08,버스요금,19287,교통,택시요금
transport_80,2025-03-03,버스요금,10693,교통,대중교통
transport_81,2025-06-03,택시요금카카오T,7486,교통,버스요금
transport_82,2025-08-21,택시요금카카오T,1410,교통,지하철요금
transport_83,2025-06-17,택시요금카카오T,5996,교통,지하철요금
transport_84,2025-07-16,택시요금카카오T,2530,교통,지하철요금
transport_85,2025-04-20,SRT,15941,교통,이동비용
transport_86,2025-03-14,SRT,8029,교통,이동비용
transport_87,2025-03-30,택시요금카카오T,8059,교통,지하철요금
transport_88,2025-04-30,택시요금카카오T,6231,교통,출퇴근비
transport_89,2025-10-13,지하철역,10497,교통,대중교통
transport_90,2025-04-16,택시요금카카오T,7045,교통,지하철요금
transport_91,2025-03-06,택시요금카카오T,12566,교통,버스요금
transport_92,2025-10-16,KTX,12481,교통,대중교통
transport_93,2025-08-20,지하철역,13512,교통,출퇴근비
transport_94,2025-02-18,고속버스,2206,교통,택시요금
transport_95,2025-03-10,고속버스,1386,교통,출퇴근비
transport_96,2025-08-27,택시요금카카오T,15973,교통,버스요금
transport_97,2025-10-11,고속버스,17452,교통,지하철요금
transport_98,2025-02-25,고속버스,19518,교통,이동비용
transport_99,2025-10-25,지하철역,2651,교통,택시요금
transport_100,2025-06-15,KTX,19634,교통,버스요금
transport_101,2025-02-12,고속버스,9513,교통,이동비용
transport_102,2025-09-22,지하철역,12320,교통,버스요금
transport_103,2025-08-13,SRT,11859,교통,택시요금
transport_104,2025-02-20,SRT,10558,교통,대중교통
transport_105,2025-07-31,버스요금,9690,교통,이동비용
transport_106,2025-03-15,버스요금,1279,교통,지하철요금
transport_107,2025-04-10,버스요금,18187,교통,이동비용
transport_108,2024-12-05,KTX,13508,교통,대중교통
transport_109,2025-01-03,지하철역,15629,교통,지하철요금
transport_110,2025-07-12,버스요금,1821,교통,지하철요금
transport_111,2025-02-03,지하철역,16612,교통,출퇴근비
transport_112,2025-03-17,SRT,18671,교통,버스요금
transport_113,2025-05-07,SRT,19697,교통,지하철요금
transport_114,2025-10-18,지하철역,4164,교통,대중교통
transport_115,2025-08-12,택시요금카카오T,15311,교통,지하철요금
transport_116,2024-12-08,버스요금,17483,교통,이동비용
transport_117,2025-06-21,고속버스,9411,교통,택시요금
transport_118,2025-07-25,택시요금카카오T,6916,교통,출퇴근비
transport_119,2025-10-30,버스요금,7029,교통,지하철요금
transport_120,2024-12-24,SRT,19450,교통,대중교통
transport_121,2025-10-07,지하철역,19147,교통,버스요금
transport_122,2025-01-25,SRT,2069,교통,택시요금
transport_123,2025-10-21,SRT,3306,교통,버스요금
transport_124,2025-08-22,버스요금,3468,교통,대중교통
