placeOfUse,entryAmount,memo,category
롯데시네마 월드타워,11902,옷 구매,여가/취미
카카오택시,21531,카페라떼,교통
던킨도너츠 강남역,15710,스낵 구입,카페
이마트 용산점,59506,도서 구매,마트
이디야커피 잠실점,9580,저녁 배달,카페
맥도날드 신림점,135724,저녁 배달,식비
하나로마트 양재,28844,티켓 구매,마트
이디야커피 잠실점,115322,티켓 구매,카페
투썸플레이스 홍대점,108300,티켓 구매,카페
세븐일레븐 홍대점,75821,도서 구매,편의점
설빙 신촌점,117485,옷 구매,카페
이마트 용산점,72385,치킨 세트,마트
카카오택시,114913,도서 구매,교통
올리브영 강남점,123055,티켓 구매,쇼핑
G마켓,149777,지하철 요금,쇼핑
GS칼텍스 강남대로점,141261,치킨 세트,교통
T맵택시,109810,화장품 구매,교통
ABC마트 강남점,23722,저녁 배달,쇼핑
쿠팡,36587,지하철 요금,쇼핑
요기요,86179,티켓 구매,식비
하나로마트 양재,133354,스낵 구입,마트
이마트 용산점,145801,스낵 구입,마트
G마켓,61833,택시요금,쇼핑
서울교통공사,116616,아메리카노,교통
요기요,47549,아메리카노,식비
코스트코 양재점,70557,화장품 구매,마트
코스트코 양재점,115724,아메리카노,마트
롯데시네마 월드타워,12986,편의점 간식,여가/취미
CU 신림점,87055,아메리카노,편의점
맥도날드 신림점,6920,주유,식비
쿠팡,13081,저녁 배달,쇼핑
투썸플레이스 홍대점,93371,택시요금,카페
쿠팡,39698,도서 구매,쇼핑
CU 신림점,97888,편의점 간식,편의점
스타벅스 강남역점,91291,저녁 배달,카페
홈플러스 강서점,130907,카페라떼,마트
GS25 강남역점,88917,도서 구매,편의점
홈플러스 강서점,131125,주말 장보기,마트
배민1,119496,점심 식사,식비
올리브영 강남점,13068,치킨 세트,쇼핑
요기요,121100,택시요금,식비
배민1,144384,카페라떼,식비
CU 신림점,58304,도서 구매,편의점
홈플러스 강서점,46822,옷 구매,마트
쿠팡,60446,카페라떼,쇼핑
bhc치킨 대치점,52756,주말 장보기,식비
롯데백화점 본점,58389,저녁 배달,쇼핑
롯데시네마 월드타워,66472,옷 구매,여가/취미
하나로마트 양재,16876,도서 구매,마트
YES24,84269,도서 구매,여가/취미
메가커피 신촌점,144848,도서 구매,카페
교촌치킨 서초점,100789,택시요금,식비
맘스터치 사당점,10276,화장품 구매,식비
이디야커피 잠실점,91888,치킨 세트,카페
현대백화점 무역센터점,122542,아메리카노,쇼핑
메가커피 신촌점,135360,저녁 배달,카페
서울교통공사,40503,티켓 구매,교통
요기요,129062,생활용품 구매,식비
롯데시네마 월드타워,17427,생활용품 구매,여가/취미
교촌치킨 서초점,17848,치킨 세트,식비
하이패스,4905,영화 관람,교통
현대백화점 무역센터점,101066,티켓 구매,쇼핑
알라딘 중고서점 홍대,51247,치킨 세트,여가/취미
스타벅스 강남역점,122731,카페라떼,카페
맥도날드 신림점,59424,지하철 요금,식비
CU 신림점,55554,주말 장보기,편의점
카페베네 종로점,148893,저녁 배달,카페
요기요,4453,주유,식비
11번가,25154,티켓 구매,쇼핑
투썸플레이스 홍대점,49487,지하철 요금,카페
롯데백화점 본점,79177,치킨 세트,쇼핑
맥도날드 신림점,127691,편의점 간식,식비
교촌치킨 서초점,77578,스낵 구입,식비
이디야커피 잠실점,132171,티켓 구매,카페
교보문고 광화문점,84290,스낵 구입,여가/취미
쿠팡,88923,카페라떼,쇼핑
메가커피 신촌점,136596,치킨 세트,카페
배민1,78280,화장품 구매,식비
세븐일레븐 홍대점,98171,도서 구매,편의점
던킨도너츠 강남역,109897,영화 관람,카페
미스터피자 홍대점,36279,주유,식비
올리브영 강남점,98738,저녁 배달,쇼핑
SK주유소 방배점,47618,생활용품 구매,교통
메가박스 강남,139401,주말 장보기,여가/취미
던킨도너츠 강남역,38772,티켓 구매,카페
카카오택시,39748,치킨 세트,교통
하이패스,4069,도서 구매,교통
교보문고 광화문점,127807,옷 구매,여가/취미
세븐일레븐 홍대점,104523,저녁 배달,편의점
배민1,25474,편의점 간식,식비
롯데시네마 월드타워,77483,생활용품 구매,여가/취미
홈플러스 강서점,105098,카페라떼,마트
배민1,55053,티켓 구매,식비
롯데백화점 본점,92085,도서 구매,쇼핑
투썸플레이스 홍대점,41370,택시요금,카페
다이소 신촌점,57604,스낵 구입,생활
쿠팡,17694,영화 관람,쇼핑
